peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,purity_num,diff_adj,mean_xy,ratio,diff_pct_relAAA,diff_pct_of_mean,log2fc,pct_diff
PEP-0213,11,0,0,1,1,17619,0.94551,0.1167,2.4724144038138,0.220682034,10.9466666666667,386.239049346959,74.4458420479859,16.605514375443,5,5,220.682034,16.605514375443,5,249.08271563164504,0.94551,28.40068163164503,234.8823748158225,1.1286950329252676,12.869503292526764,12.09144860439816,0.1746557306456181,12.869503292526764
PEP-0231,13,0,1,0,0,17150,0.9465,0.1163,16.7134316937543,0.2201559,,,50.3941747995123,9.79478616122687,5,5,220.1559,9.79478616122687,5,146.92179241840304,0.9465,-73.23410758159693,183.5388462092015,0.6673534182749727,-33.26465817250273,-39.901148500259794,-0.5834771059533658,-33.26465817250273
PEP-0308,17,0,1,0,2,26388,0.59556,0.109964286,27.79101966,0.219928572,10.2415,735.510339230473,96.2961366880045,15.257492266059,5,6,219.928572,15.257492266059,5,228.862383990885,0.59556,8.933811990885005,224.3954779954425,1.0406214249910422,4.062142499104211,3.981279868334268,0.0574453158773013,4.062142499104211
PEP-0187,12,0,1,1,1,29065,0.9731,0.1126875,9.63006926219975,0.2193124125,11.4836666666667,681.720455230084,115.890723314165,14.6382118623425,5,5,219.3124125,14.6382118623425,5,219.5731779351375,0.9731,0.2607654351375004,219.44279521756877,1.0011890135727612,0.1189013572761187,0.1188307116116352,0.0017143649852083,0.1189013572761187
PEP-0255,12,0,0,0,1,13469,0.94857,0.114875,14.0781843792186,0.2179339575,12.172,362.442520695309,46.6016236939395,14.3912123074361,5,5,217.9339575,14.3912123074361,5,215.8681846115415,0.94857,-2.065772888458497,216.90107105577076,0.990521105971021,-0.9478894028978926,-0.9524032677216864,-0.0137403785759171,-0.9478894028978926
PEP-0192,12,0,0,1,2,21091,0.98171,0.110791666666667,8.78630723172911,0.217530574166667,12.4806666666667,615.02771920074,87.7948657890665,18.5915477180752,5,5,217.53057416666695,18.5915477180752,5,278.873215771128,0.98171,61.34264160446102,248.20189496889748,1.2819954934585962,28.199549345859623,24.71481598162172,0.3583911905242342,28.199549345859623
PEP-0222,11,0,0,0,1,12492,1.0,0.10875,0.975319698188344,0.2175,12.2415,246.154935282109,43.2335665796854,14.6798297442143,5,5,217.5,14.6798297442143,5,220.1974461632145,1.0,2.697446163214522,218.8487230816073,1.0124020513251242,1.240205132512424,1.2325619840188249,0.017782335747313,1.240205132512424
PEP-0330,17,0,1,1,1,28555,0.76929,0.108625,17.88,0.21725,16.0986666666667,457.009384978209,118.403056210431,15.250264839056,5,6,217.25,15.250264839056,5,228.75397258584,0.76929,11.503972585839987,223.00198629292,1.0529526931454083,5.295269314540846,5.158686152117571,0.0744406206963522,5.295269314540846
PEP-0263,12,0,0,0,1,13221,0.98071,0.1105,14.8620321074217,0.21673691,11.0361666666667,249.357103915409,52.8255165101509,16.6968571054273,5,5,216.73691,16.6968571054273,5,250.4528565814095,0.98071,33.7159465814095,233.59488329070476,1.1555616280651482,15.55616280651482,14.433512458169126,0.2085942032352735,15.55616280651482
PEP-0189,12,0,0,0,0,21111,1.0,0.108,1.96418550329597,0.216,,,69.3913060811174,10.9565796790168,5,5,216.0,10.9565796790168,5,164.34869518525198,1.0,-51.651304814748016,190.174347592626,0.7608735888206111,-23.912641117938897,-27.159974764520133,-0.3942713099239061,-23.912641117938897
